Package,Category,What it is,Why removable,Remove?
age,Encryption,File encryption tool,Niche use case,
aria2,Download,Multi-protocol download tool,Useful if downloading large files,x
asitop,Monitor,Apple Silicon performance monitor,htop covers most of this,
automake,Build,GNU build automation,Only if compiling C/C++ projects,x
bash-completion,Shell,Bash tab completion,Keep if using bash,
bat,CLI,Cat replacement with syntax highlighting,Very useful daily tool,
bc,Math,Arbitrary precision calculator,macOS has built-in bc,
bison,Build,Parser generator,Only for compiling certain projects,
blueutil,Bluetooth,Bluetooth CLI tool,Used by SketchyBar/scripts,
ccache,Build,Compiler cache,Only if compiling frequently,
chardet,Text,Character encoding detector,Rarely needed,
chruby,Ruby,Ruby version manager,Only if doing Ruby development,
cloudflared,Network,Cloudflare tunnel client,Keep if using Cloudflare tunnels,
cmake,Build,Cross-platform build system,Only if compiling C/C++,
cocoapods,iOS,iOS dependency manager,Only if doing iOS development,x
cristianoliveira/tap/aerospace-scratchpad,WM,AeroSpace scratchpad,Part of your WM setup,
czkawka,Files,Duplicate file finder,One-time use tool,x
dfu-util,Hardware,USB firmware flasher,Only for keyboard/device firmware,
dotnet,Runtime,.NET runtime and SDK,Only if doing .NET development,
exiftool,Media,Image/file metadata tool,Useful for photo workflow,
fcanas/tap/mirror-displays,Display,Mirror display utility,Only if mirroring displays,
felixkratz/formulae/borders,WM,Window border highlights,Part of your WM setup,
felixkratz/formulae/sketchybar,WM,Status bar replacement,Core part of your setup,
fio,Benchmark,Disk I/O benchmark,One-time benchmarking use,
fnm,Node,Fast Node.js version manager,Keep if doing JS/Node development,
fzf,CLI,Fuzzy finder,Essential CLI tool,
gdbm,Library,GNU database library,Likely orphaned dependency,x
geos,Library,Geometry engine library,Likely orphaned dependency,x
gh,Git,GitHub CLI,Essential for GitHub workflow,
git,Git,Version control,Essential,
gromgit/fuse/ntfs-3g-mac,Filesystem,NTFS read/write support,Only if using NTFS drives,
handbrake,Media,Video transcoder,Keep if encoding video,
hidapi,Hardware,USB HID library,For keyboard/device firmware,
htop,Monitor,Process viewer,Essential system tool,
httrack,Web,Website copier/scraper,Rarely used,
ical-buddy,Calendar,CLI calendar reader,Used by SketchyBar next_event,
imagemagick,Media,Image processing toolkit,Useful for batch image work,
innoextract,Windows,Windows installer extractor,Very niche use,
iperf3,Network,Network speed test tool,Only for LAN benchmarking,
jackielii/tap/skhd-zig,WM,Hotkey daemon (zig build),Replaced by AeroSpace,
jakehilborn/jakehilborn/displayplacer,Display,Display arrangement CLI,Part of your multi-monitor setup,
jq,CLI,JSON processor,Essential CLI tool,
koekeishiya/formulae/yabai,WM,Tiling window manager,Replaced by AeroSpace,x
laishulu/homebrew/macism,Input,Input method switcher,Used by SketchyBar input_source,
libffi,Library,Foreign function interface,Likely orphaned dependency,
libxslt,Library,XSLT processing library,Likely orphaned dependency,
lua,Language,Lua programming language,Used by SketchyBar SbarLua,
m1ddc,Display,DDC monitor control for M1,Part of your display setup,
mkvtoolnix,Media,MKV video tool,Keep if editing video files,
mole,Network,SSH tunnel manager,Only if using SSH tunnels regularly,
neovim,Editor,Modern vim editor,Keep if using neovim,
ninja,Build,Fast build system,Only if compiling projects,
nowplaying-cli,Media,Now playing info CLI,Used by SketchyBar music,
openjdk,Runtime,Java development kit,Only if doing Java development,x
openvino,AI,Intel AI inference toolkit,Only if doing ML/AI work,x
pandoc,Document,Universal document converter,Only if converting docs regularly,
pdfgrep,Document,PDF text search,Niche document search tool,
pnpm,Node,Fast Node.js package manager,Keep if doing JS/Node development,
portaudio,Audio,Audio I/O library,Dependency for Background Music?,
postgresql@14,Database,PostgreSQL database,Only if actively using PostgreSQL,
powershell,Shell,PowerShell for macOS,Only if doing PowerShell scripting,
python-dateutil,Python,Python date utilities,Likely orphaned dependency,
python-matplotlib,Python,Python plotting library,Only if doing data viz,
python-pytz,Python,Python timezone library,Likely orphaned dependency,
python-requests,Python,Python HTTP library,Likely orphaned dependency,
python-tk@3.11,Python,Python Tkinter for 3.11,Likely orphaned dependency,
python-tk@3.13,Python,Python Tkinter for 3.13,Likely orphaned dependency,
qemu,VM,Machine emulator/virtualizer,Only if running VMs,x
rclone,Cloud,Cloud storage sync tool,Keep if syncing to cloud,
ruby-install,Ruby,Ruby installer,Only if doing Ruby development,
sandreas/tap/m4b-tool,Audio,Audiobook chapter tool,Very niche use,
scalingo,PaaS,Scalingo platform CLI,Only if deploying to Scalingo,
scantailor,Scanning,Scanned document processor,Niche scanning workflow,
smartmontools,Disk,Disk health monitoring,Useful for drive health checks,
sox,Audio,Audio processing CLI,Niche audio tool,
speedtest-cli,Network,Internet speed test,Useful occasional test,
switchaudio-osx,Audio,Audio device switcher CLI,Used by your audio setup,
tag,Files,macOS file tagging CLI,Rarely used,
telnet,Network,Telnet client,Rarely needed nowadays,
theseal/ssh-askpass/ssh-askpass,SSH,SSH password GUI prompt,Niche SSH tool,
tmux,Terminal,Terminal multiplexer,Essential terminal tool,
totp-cli,Security,2FA TOTP generator,If using Bitwarden instead,
unpaper,Scanning,Scanned page cleanup,Niche scanning tool,
waydabber/betterdisplay/betterdisplaycli,Display,BetterDisplay CLI,Core part of your display/volume setup,
xcodegen,iOS,Xcode project generator,Only if doing iOS development,
youtube-dl,Media,YouTube downloader (old),Replaced by yt-dlp,x
yt-dlp,Media,YouTube downloader (active),Keep if downloading videos,
zoxide,CLI,Smart cd replacement,Useful daily tool,
zsh-autocomplete,Shell,Zsh auto-completion,Part of your shell setup,
zsh-completions,Shell,Additional zsh completions,Part of your shell setup,